Conference,Paper Title,Author Names
InfoVis,A comparative study between RadViz and Star Coordinates,"Sanchez, A."
InfoVis,A comparative study between RadViz and Star Coordinates,"Raya, L."
InfoVis,A comparative study between RadViz and Star Coordinates,"Diaz, F."
InfoVis,A comparative study between RadViz and Star Coordinates,"Rubio-Sanchez, M."
InfoVis,A Linguistic Approach to Categorical Color Assignment for Data Visualization,"Setlur, V."
InfoVis,A Linguistic Approach to Categorical Color Assignment for Data Visualization,"Stone, M.C."
InfoVis,A Psychophysical Investigation of Size as a Physical Variable,"Hornbaek, K."
InfoVis,A Psychophysical Investigation of Size as a Physical Variable,"Jansen, Y."
InfoVis,A Simple Approach for Boundary Improvement of Euler Diagrams,"Simonetto, P."
InfoVis,A Simple Approach for Boundary Improvement of Euler Diagrams,"Scheidegger, C."
InfoVis,A Simple Approach for Boundary Improvement of Euler Diagrams,"Archambault, D."
InfoVis,Acquired Codes of Meaning in Data Visualization and Infographics: Beyond Perceptual Primitives,"Wiles, J."
InfoVis,Acquired Codes of Meaning in Data Visualization and Infographics: Beyond Perceptual Primitives,"Byrne, L."
InfoVis,Acquired Codes of Meaning in Data Visualization and Infographics: Beyond Perceptual Primitives,"Angus, D."
InfoVis,AggreSet: Rich and Scalable Set Exploration using Visualizations of Element Aggregations,"Bederson, B.B."
InfoVis,AggreSet: Rich and Scalable Set Exploration using Visualizations of Element Aggregations,"Yalcin, M.A."
InfoVis,AggreSet: Rich and Scalable Set Exploration using Visualizations of Element Aggregations,"Elmqvist, N."
InfoVis,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,Zhiguang Zhou
InfoVis,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,Qiaomu Shen
InfoVis,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,Sixiao Yang
InfoVis,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,"Archambault, D."
InfoVis,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,Yong Wang
InfoVis,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,Min Zhu
InfoVis,AmbiguityVis: Visualization of Ambiguity in Graph Layouts,Huamin Qu
InfoVis,Automatic Selection of Partitioning Variables for Small Multiple Displays,"Anand, A."
InfoVis,Automatic Selection of Partitioning Variables for Small Multiple Displays,"Talbot, J."
InfoVis,Beyond Memorability: Visualization Recognition and Recall,"Bainbridge, C.M."
InfoVis,Beyond Memorability: Visualization Recognition and Recall,"Pfister, H."
InfoVis,Beyond Memorability: Visualization Recognition and Recall,"Bylinskii, Z."
InfoVis,Beyond Memorability: Visualization Recognition and Recall,"Oliva, A."
InfoVis,Beyond Memorability: Visualization Recognition and Recall,Nam Wook Kim
InfoVis,Beyond Memorability: Visualization Recognition and Recall,"Yeh, C.S."
InfoVis,Beyond Memorability: Visualization Recognition and Recall,"Borkin, D."
InfoVis,Beyond Memorability: Visualization Recognition and Recall,"Borkin, M.A."
InfoVis,Beyond Weber's Law: A Second Look at Ranking Visualizations of Correlation,"Kay, M."
InfoVis,Beyond Weber's Law: A Second Look at Ranking Visualizations of Correlation,"Heer, J."
InfoVis,"Evaluation of Parallel Coordinates: Overview, Categorization and Guidelines for Future Research","Forsell, C."
InfoVis,"Evaluation of Parallel Coordinates: Overview, Categorization and Guidelines for Future Research","Johansson, J."
InfoVis,Guidelines for Effective Usage of Text Highlighting Techniques,"Pfister, H."
InfoVis,Guidelines for Effective Usage of Text Highlighting Techniques,"Schreck, T."
InfoVis,Guidelines for Effective Usage of Text Highlighting Techniques,"Oelke, D."
InfoVis,Guidelines for Effective Usage of Text Highlighting Techniques,Bum Chul Kwon
InfoVis,Guidelines for Effective Usage of Text Highlighting Techniques,"Strobelt, H."
InfoVis,High-Quality Ultra-Compact Grid Layout of Grouped Networks,"Dwyer, T."
InfoVis,High-Quality Ultra-Compact Grid Layout of Grouped Networks,"Kieffer, S."
InfoVis,High-Quality Ultra-Compact Grid Layout of Grouped Networks,"Gange, G."
InfoVis,High-Quality Ultra-Compact Grid Layout of Grouped Networks,"Klein, K."
InfoVis,High-Quality Ultra-Compact Grid Layout of Grouped Networks,"Yoghourdjian, V."
InfoVis,High-Quality Ultra-Compact Grid Layout of Grouped Networks,"Marriott, K."
InfoVis,HOLA: Human-like Orthogonal Network Layout,"Dwyer, T."
InfoVis,HOLA: Human-like Orthogonal Network Layout,"Wybrow, M."
InfoVis,HOLA: Human-like Orthogonal Network Layout,"Marriott, K."
InfoVis,HOLA: Human-like Orthogonal Network Layout,"Kieffer, S."
InfoVis,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice&#x0027;s Information Visualization Sensemaking,Ji Soo Yi
InfoVis,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice&#x0027;s Information Visualization Sensemaking,Youn-ah Kang
InfoVis,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice&#x0027;s Information Visualization Sensemaking,"Lam, H."
InfoVis,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice&#x0027;s Information Visualization Sensemaking,Sung-Hee Kim
InfoVis,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice&#x0027;s Information Visualization Sensemaking,Ya-Hsin Hung
InfoVis,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice&#x0027;s Information Visualization Sensemaking,Sukwon Lee
InfoVis,"Improving Bayesian Reasoning: The Effects of Phrasing, Visualization, and Spatial Ability","Taylor, H.A."
